Phrase,Target
lonely best way focus become stronger man let faith,Positive
call keith mystery,Neutral
long road lonely one still find answers im chosen one promise,Neutral
ship chaos escape futile emergency repair result failure fuels exploding survival hopeless,Negative
ladies lonely come keep company,Neutral
use linked neuroscience news via,Neutral
hopeless sense either individual collective empowerment,Positive
cafers antidepressants visualize memorize tgsmnlr,Neutral
sorry acc page world vent much needed okay okay okay get frustrated youre human right get exhausted like everyone else,Neutral
really dont getting angry care everything get frustrated things disappoint,Neutral
damn john dont tellem bulls looking mighty lonely late,Negative
god tell time,Neutral
swear depression mode brings artist depressed draw emotional drawings,Negative
last time walked streets san francisco late 2019 noticed hopeless desperation many people carried hurry get somewhere werent excited lots long faces first time visited 2011 wasnt like,Negative
went doctor today got back antidepressants hoping beginning road recovery,Positive
im doctor know adding cheese anything makes antidepressant,Neutral
yh think u get used know sometimes get really bad amp break dr offered antidepressants refused use paracetamol ibuprofen widespread pain nothing shifts headaches migraines really horrid live x,Negative
people animals animals cannot hate made lies bad minded cruelty thoughtless violence division think american trailer trash lonely stupid shambling thugs clear enough vote human soul democrats way,Negative
think people little frustrated n anxious dreams could go away someday much motivation create recent months still always thinking dreams though absolutely love picking making something random rarely release creative outlet,Positive
chicago bulls players frustrated zach lavine strong exchange halftime timberwolves,Neutral
anyway may aswell go bed bored lonely sad,Negative
felt like hopeless things truly make happy searched anything anyone support fullest helped lot even family friends hope take time make feel better 2,Positive
harry potter movies like lotr ot star wars something special feel like event witness,Neutral
thought depressed whole time turns period gearing,Negative
feeling hopeless struggling mental health want help visit see range services available help towards better mental health,Positive
ive symptoms im 42 doctors try give antidepressants ive felt lost like times didnt want struggled years sick going different doctors xx,Negative
moon high nightsky reminds jungkook moon looks lonely like crying bright night sky lately though ive found star near moon even though always know morning come want stay sky like star,Positive
lonely im mr lonely nobody im lonely im mr lonely nobody lonely,Negative
hookup apps hard figure whether upfront incontinence say anything later one hand dont anything hide hand prejudice lonely bitch,Neutral
find hope hopeless pull train wreck,Negative
example 5 10 teens usa take antidepressants,Neutral
amazing article penned emotion millions indians fed frustrated liberals abundant hypocrisy beautifully written keep good work,Positive
open access general practitioners perspectives discontinuation long term antidepressants nursing homes,Neutral
song santa baby santa cutie fill stocking duplex checks word duplex mean context,Neutral
antidepressants give rlly wild n vivid dreams bc dream someone called communist lesbian derogatoryily,Positive
beautiful day today know one share somebody wanna meet coffee,Positive
im hopeless awkward desperate love,Negative
