Phrase,Target
disappear one day lonely sad students right able stop crying matter keep remembering,Negative
sorry text lot im lonely,Negative
lonely yes yes oh god yes trying imagine world good things happen people like,Positive
lonely girl high paying job ceo smith amp sons suddenly bores time go back hometown springfield christmas josh sweet gym teacher knew sixth grade remember girl ive suddenly learned take family granted,Positive
sora ah thank goodness found sorry left lonely without us,Positive
sweet looking forward signing lonely fans,Positive
self control someone ransom go 10 money head cant come backdrifts bunker sad eat eat alive lonely,Neutral
staying middle feels increasingly lonely,Negative
lonely enough lower standards least ones use teeth,Negative
never know lonely day,Neutral
feel lonely bgt ajg,Negative
sending snap feeling lonely videos get left read snap left read,Negative
older two boys gone time week school program football like lonely new schedule like going,Neutral
wouldnt shit talking ones spreading false information ie provided medical study shows asymptomatic transmission exists virtually respiratory viruses makes think im lonely think squirting ignorant kids something proud,Positive
would pretty lonely four us,Neutral
even fun dance rain looking like lonely crazy person lt 3,Positive
could totally draw matching ranchers pfp use jimmys half lonely,Negative
strange remember even though lonely also seems real pretty,Neutral
solo travel liberating also lonely,Neutral
life fuckin lonely lately matter b around sh feel empty fr,Negative
atheist friend driving thru boonies middle night saw lonely house fire calling 911 thought saw movement one windows knowing fire truck least 15 minutes away went amp crawled,Neutral
im lonely man,Negative
going sleep feeling unimportant lonely unlovable new daily life continue daily life,Negative
sight mind lonely,Negative
homeless cat lonely petting,Neutral
rely social media engagements fuel ego people feel lonely look mirror,Neutral
baby hi okay hope want say feel sad lonely even love without knowing try writing music would love hear feelings,Neutral
lonely place cold believe,Negative
watching couples fall love screen making lonely,Negative
need friends im lonely,Negative
lonely losers wanting feel special perfect cult material,Negative
looks lonely floating space,Negative
think lonely felt breaks time,Negative
convinced first ever founder company called company lonely needed company,Positive
never make friend feel lonely,Negative
know dating man find better bad also longer willing lonely,Negative
lonely lonely little life could kid thinking fine,Negative
minsang know ive never lonely shows cause dont see like used,Neutral
alone everyday amp lonely im feeling everyday big difference,Negative
dream chasing process broke rich folk rich financially blessed finding work life balance dating lonely parts process like right got,Positive
less lonely days,Positive
never feel lonely ever,Positive
strive excellence lonely path,Neutral
dude depressed frequently tried find solution talk one doctor try several solutions period years diet exercise counselling pharmaceuticals worked depression completely control,Neutral
ive turned statue makes feel depressed cause time open get undressed,Negative
personally dont statistically women 40 depressed wouldnt want around lol,Neutral
always depressed good question,Neutral
thats depressing whatever depressed,Neutral
depressed mentally physically,Negative
go therapist heal u end poor depressed,Positive
feel invisible lately nobody likes depressed,Negative
getting frustrated work cause wanna read book job,Negative
get mad someone frustrated popular think art bad still learning,Neutral
im angry sad frustrated people suffering point feel like dying escape poverty everyone deserves basic needs met punish people unemployed old disabled good enough,Negative
world running things think without depressed,Positive
gonna end depressed,Neutral
lonely need wife,Negative
disability mental health go hand hand despite sees inner strength despite feeling hopeless many times,Positive
find hope hopeless pull train wreck,Negative
wow amazing art project,Positive
life leaves hopeless lying alone heart full questions havent got answers,Negative
swear mother hopeless dont understand phones figured instead password figured could unlock phone using fingerprint identification somehow broke phone accepting fingerprint xd knowing shes freaking,Neutral
hellogreedo always known terrible takes love character damn always saying dumbest things,Neutral
hope everyones okay okay feel sad okay feel hopeless okay feel like everything still feel hopeful hopeless things pattern right way take step back grateful,Positive
literally fact environment badly damaged due pollution climate change ppl literally dying result yet still want fight religion harrowing hopeless,Negative
lmao serious note watch yt shorts saw video title became weak,Neutral
guess feels hopeless shes digitalized might feeling like life ending think safe say shes fine well see next week tho lol,Positive
man wtf told sister dont want hopeful regards convo visiting home state right afraid hoping feel hopeless time,Negative
im feeling incredibly defeated hopeless corruption destroying country please give reason hopeful,Negative
however times must rely things seem hopeless,Positive
advice ages times regret free hours give employer time away loved ones spend working hopeless fantasy football team life sadly short great advice jose,Positive
going help self already feel hopeless,Negative
cheese two slices super melty kind,Neutral
abject adj hopeless extremely sad servile defeated,Negative
someones ideal type full errors dont even know someones interested hopeless romantic gonna single till ig,Neutral
ty anipoke food,Neutral
finally stands still hopeless sick failure,Negative
crush yeah ik,Neutral
sad mood today send something makes u happy song video inspires brings u ur feelin hopeless need seratonin life today pls,Negative
nonstop nut november,Neutral
times randomly cry end swallowed self pity think ifs nots cry hate one really blame except stupid naive hopeless,Negative
saying im already hopeless,Negative
feeling ugly hopeless,Negative
finally getting play badass fighter instead hopeless side character gdnhsjssj,Positive
omg sweet yep listen armorer confess,Positive
guys r genuinely hopeless creatures comes fashion passion n many things genuinely miracle reason women still like,Neutral
hopeless romantic hopeful romantic,Positive
got prescribed antidepressants,Negative
crying antidepressants like u throw food ur stomach,Negative
ive heard theres types marijuana help depression havent looked started antidepressants maybe avenue pursue typical antidepressants arent working,Neutral
ive forgotten take antidepressants last days hit like tonne bricks today scary think would right wasnt pills,Negative
new antidepressant dis,Neutral
exaggerating say regularly lifting heavy things greatest antidepressant,Positive
caught cat eating one antidepressants morning,Neutral
good need laugh crying last six years seriously get antidepressants humor help thanks much,Positive
sleep paralysis confirm terrifying used get missed restarted antidepressants,Negative
would love antidepressants right drink tea instead cos life,Positive
furious taking antidepressants makes feel less numb also brings back nightmares every single night brain already know traumatized dont need reminder every time try rest,Negative
already suicidal lil bro thing need antidepressants,Negative
lifting weights twice week makes feel much better every way realize everyone im trying shame seriously 1 000 effective antidepressant,Positive
getting antidepressants realized biggest problem fact nothing around biggest problem,Negative
started antidepressants today maybe therapy soon hope,Positive
honestly finding antidepressant actually helps took 19 years lol im never going,Positive
antidepressants suffered since childhood know feels reach crisis point x,Negative
forgot crappy side effects taking antidepressants first weeks,Negative
wtf yeah lets casually take antidepressants diet pills sus,Negative
works rather take antidepressants dead,Negative
took wooooook antidepressants poland morning,Neutral
teruko giggled nice friend school longer lonely maybe life would get better,Positive
reminder education workers norm cared amp employment vaccinated,Positive
frustrated natives like dawn focused sharing side narrative help others understand barriers community faced historically also continue confront states across america including wi,Positive
huge round applause absolutely useless second time today frustrated word day never give another penny hard earned money absolutely glorious,Positive
better clean energy find love everyone meet online try lay curse attract curse diana married mans side chic frustrated excuse human,Positive
bit lonely lately hope good day messaged friends,Positive
sad best thing draw like expectations peoples attention otherwise even frustrated need,Positive
appreciating time lately even tired frustrated lot grateful decades embodiment spiritual practice training moments like curiosity well gnarly feelings,Positive
lets analyze results dissociative side effects ketamine mediate antidepressant effects,Neutral
maybe side effect medication taking also happening gf figured antidepressants,Neutral
frustrated confused fed ending year sales really like help power get back track,Neutral
im ep 11 liberation notes im kind frustrated bc ship older sister boss think weird theyd spend much time guy insulted kid like yeah shes sorry think bc hes hot shes desperate lol,Neutral
absolutely frustrated went astral finding seeing anything tried searching punlic key success,Neutral
start prescribing spoonfuls nutella instead antidepressants,Neutral
rapid acting antidepressants volume 89 advances pharmacology volume 89 3cmi0ko,Neutral
antidepressants even makes gravy,Neutral
5 reasons feel relationships,Neutral
